List all of the first names for AddressBook.name="Pharetra Ut Limited"

SELECT e.firstName, a.name FROM AddressBook a
INNER JOIN Entry e ON a.id = e.addressBookId
WHERE a.name = "Pharetra Ut Limited"
ORDER BY e.firstName;

+-------------+---------------------+
| firstName   | name                |
+-------------+---------------------+
| Aaron       | Pharetra Ut Limited |
| Abdul       | Pharetra Ut Limited |
| Abel        | Pharetra Ut Limited |
| Addison     | Pharetra Ut Limited |
| Amena       | Pharetra Ut Limited |
| Blythe      | Pharetra Ut Limited |
| Bo          | Pharetra Ut Limited |
| Brett       | Pharetra Ut Limited |
| Buckminster | Pharetra Ut Limited |
| Caryn       | Pharetra Ut Limited |
| Caryn       | Pharetra Ut Limited |
| Celeste     | Pharetra Ut Limited |
| Cheyenne    | Pharetra Ut Limited |
| Ciara       | Pharetra Ut Limited |
| Colin       | Pharetra Ut Limited |
| Colt        | Pharetra Ut Limited |
| Colton      | Pharetra Ut Limited |
| Dieter      | Pharetra Ut Limited |
| Driscoll    | Pharetra Ut Limited |
| Faith       | Pharetra Ut Limited |
| Fulton      | Pharetra Ut Limited |
| Gareth      | Pharetra Ut Limited |
| Halee       | Pharetra Ut Limited |
| Haley       | Pharetra Ut Limited |
| Heidi       | Pharetra Ut Limited |
| Herrod      | Pharetra Ut Limited |
| Idola       | Pharetra Ut Limited |
| Idona       | Pharetra Ut Limited |
| Illana      | Pharetra Ut Limited |
| Jacqueline  | Pharetra Ut Limited |
| Jamal       | Pharetra Ut Limited |
| Jamal       | Pharetra Ut Limited |
| Jamalia     | Pharetra Ut Limited |
| Jennifer    | Pharetra Ut Limited |
| Jillian     | Pharetra Ut Limited |
| Kathleen    | Pharetra Ut Limited |
| Kimberley   | Pharetra Ut Limited |
| Kyla        | Pharetra Ut Limited |
| Lara        | Pharetra Ut Limited |
| Latifah     | Pharetra Ut Limited |
| Lee         | Pharetra Ut Limited |
| Martha      | Pharetra Ut Limited |
| Melanie     | Pharetra Ut Limited |
| Nell        | Pharetra Ut Limited |
| Neve        | Pharetra Ut Limited |
| Nita        | Pharetra Ut Limited |
| Paloma      | Pharetra Ut Limited |
| Pascale     | Pharetra Ut Limited |
| Prescott    | Pharetra Ut Limited |
| Rebekah     | Pharetra Ut Limited |
| Salvador    | Pharetra Ut Limited |
| Samuel      | Pharetra Ut Limited |
| Sasha       | Pharetra Ut Limited |
| Sierra      | Pharetra Ut Limited |
| Stacey      | Pharetra Ut Limited |
| Stacy       | Pharetra Ut Limited |
| Summer      | Pharetra Ut Limited |
| Sylvia      | Pharetra Ut Limited |
| Tad         | Pharetra Ut Limited |
| Thane       | Pharetra Ut Limited |
| Unity       | Pharetra Ut Limited |
| Winifred    | Pharetra Ut Limited |
| Yoko        | Pharetra Ut Limited |
| Zelenia     | Pharetra Ut Limited |
| Zena        | Pharetra Ut Limited |
+-------------+---------------------+
